Id,ComponentName,Domain,Operating System,Language,Functionality,preCondition,postCondition
1515,Register2,x,Linux,Django,"registration page with details like name, username,email,address,phone number,password and confirm password",x,x
1516,RoomSelector,Hotel Booking,Linux,Django,room type and number of guests dropdown ,x,x
1517,SearchBook,Library Management,Linux,Django,search box for entering book name,x,x
1518,SearchProduct,Ecommerce,Linux,Django,searching products using product name and product category,"loggedIn,productSearchTerm,productCategorySelected",productSearchedList
1519,SearchProductUI,Ecommerce,Linux,Django,search box for entering product name to search,loggedIn,productSearchTerm
1520,ThankYouPage,Ecommerce,Linux,Django,thank you page for the username,x,x
1521,TrainBookingConfirmed,Railway Booking,Linux,Django,"Train booking confirmed page with details like passenger name , date of journey, train name,travel duration and fare",x,x
1522,TrainDisplayUI,Railway Booking,Linux,Django,"display list of trains with details like train number, train name, duration and fare and select train ",x,x
1523,BusBookingConfirmed,Bus Booking,Linux,Django,"Train booking confirmed page with details like passenger name , date of journey, train name,travel duration and fare",x,x
1524,BusDisplayUI,Bus Booking,Linux,Django,"display list of trains with details like train number, train name, duration and fare and select train ",x,x
1525,VerificationEmailPage,Ecommerce,Linux,Django,verification email sent page,x,x
1526,VideoList,Online Video,Linux,Django,"youtube video display with video title, views and channel name with watch button",loggedIn,videoId
1527,YoutubeVideoPlay,Online Video,Linux,Django,youtube video player with video id ,videoId,x
1528,AddBookUI,Library Management,MacOS,Django,"add book ui using author name, book name and year",x,x
1529,AddBookUI,Supply Chain,MacOS,Django,"add book ui using author name, book name and year",addBook,bookAddedSuccessful:Boolean
1530,AuthorAndGenre,Library Management,MacOS,Django,author name dropdown and genre dropdown,x,x
1531,AuthorAndGenre,Supply Chain,MacOS,Django,author name dropdown and genre dropdown,x,x
1532,BerthAvailabilty,Railway Booking,MacOS,Django,"check for available berths using the values like train number ,DOJ, from and to city",x,x
1533,BookAddedSuccessfullyDialog,Library Management,MacOS,Django,book added sucessfully dialog,bookAddedSuccessful,x
1534,BookAddedSuccessfullyDialog,Supply Chain,MacOS,Django,book added sucessfully dialog,bookAddedSuccessful,x
1535,BookingConfirmation,Hotel Booking,MacOS,Django,confirmation page display,x,x
1536,BookList,Library Management,MacOS,Django,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
1537,BookList,Supply Chain,MacOS,Django,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
1538,CalculateAgeScreen,Educational,MacOS,Django,Calculate age using date picker and date of birth,loggedIn,age
1539,CityNameDropdown,Hotel Booking,MacOS,Django,city name dropdown,isLoggedIn,cityName:String
1540,CityNameWithState,Hotel Booking,MacOS,Django,city name dropdown with state,x,x
1541,ClassTypeAndQuota,Railway Booking,MacOS,Django,class type dropdown and quota type dropdown,x,x
1542,ClassTypeAndQuota,Bus Booking,MacOS,Django,class type dropdown and quota type dropdown,x,x
1543,DateOfJourney,Bus Booking,MacOS,Django,date of journey input,x,x
1544,DateOfJourney,Railway Booking,MacOS,Django,date of journey input,x,x
1545,DisplayAgeOutput,Educational,MacOS,Django,Display the age ,age,x
1546,FlightBookingConfirmed,Flight Booking,MacOS,Django,"Flight booking confirmed page with details like airline name , date of journey, from city , to city ",x,x
1547,FlightClassType,Flight Booking,MacOS,Django,select flight class type from dropdown,x,x
1548,FlightDisplayUI,Flight Booking,MacOS,Django,"display the searched list of flights and select a flight with details like airline code, airline name, departure, arrival , number of stops , duration and price",x,x
1549,FromCityToCity,Bus Booking,MacOS,Django,From city dropdown and to city dropdown select,x,x
1550,FromCityToCity,Railway Booking,MacOS,Django,From city dropdown and to city dropdown select,x,x
1551,FromCityToCityDOJ,Flight Booking,MacOS,Django,From city dropdown and to city dropdown and date of journey select,x,x
1552,FromDateToDate,Hotel Booking,MacOS,Django,from date and to date input,x,x
1553,GetFlights,Flight Booking,MacOS,Django,"get flights button to search for flights using from city name , to city name and date of journey",x,x
1554,GetTrains,Railway Booking,MacOS,Django,"get train button to search for trains using from city name , to city name ,date of journey and class type",x,x
1555,GSTCalculator,x,MacOS,Django,gst calculate on amount or fare,amount,amount
1556,HotelListUI,Hotel Booking,MacOS,Django,list of hotels with hotel select from list,x,x
1557,HotelRentCalculator,Hotel Booking,MacOS,Django,"calculate rent of hotel room using number of days ,room type , number of guests and room rent per night",x,x
1558,HotelSearch,Hotel Booking,MacOS,Django,search for hotels using city and state name,x,x
1559,LoginCaptchaScreen,x,MacOS,Django,"Login using username, password and captcha",x,loggedIn
1560,LoginCheck,x,MacOS,Django,check username and password validity,"username,password",isLoggedIn
1561,LoginErrorPage,x,MacOS,Django,login failed error page,x,x
1562,LoginScreen,x,MacOS,Django,Login using username and password,x,loggedIn
1563,LoginScreen1,x,MacOS,Django,"login using username ,password and register option",x,"userRegistered,loggedIn"
1564,Logout,x,MacOS,Django,logout button,paymentStatus,loggedIn
1565,NumberOfItems,Ecommerce,MacOS,Django,number of items dropdown,selectedProduct,numberOfItems
1566,PassengerDetails,Railway Booking,MacOS,Django,"add details of passenger with input of name , age , gender  , phone number ",x,x
1567,PassengerDetails,Bus Booking,MacOS,Django,"add details of passenger with input of name , age , gender  , phone number ",x,x
1568,PaymentFailed,x,MacOS,Django,payment failed page for the given amount,x,x
1569,PaymentPageUI,x,MacOS,Django,"payment page with options like credit card, debit card and cash",x,x
1570,PaymentPageUI1,x,MacOS,Django,"payment page with options like credit card, debit card, netbanking, upi and cash",amount,paymentStatus
1571,ProductCategory,Ecommerce,MacOS,Django,product category dropdown,loggedIn,productCategorySelected
1572,ProductFareCalculator,Ecommerce,MacOS,Django,"product fare calculate using product price, number of items and discount percentage","amount,numberOfItems",amount
1573,ProductList,Ecommerce,MacOS,Django,display list of product search results with select a product,"loggedIn,productSeachedList","amount,selectedProduct"
1574,ProfilePage,Ecommerce,MacOS,Django,"profile page with details like name,username,email,address and phone number",x,x
1575,Register,x,MacOS,Django,"registration page with details like email , password and confirm password",x,userRegistered
1576,Register1,x,MacOS,Django,"registration page with details like name,email,username,password and confirm password",x,userRegistered
1577,Register2,x,MacOS,Django,"registration page with details like name, username,email,address,phone number,password and confirm password",x,x
1578,RoomSelector,Hotel Booking,MacOS,Django,room type and number of guests dropdown ,x,x
1579,SearchBook,Library Management,MacOS,Django,search box for entering book name,x,x
1580,SearchProduct,Ecommerce,MacOS,Django,searching products using product name and product category,"loggedIn,productSearchTerm,productCategorySelected",productSearchedList
1581,SearchProductUI,Ecommerce,MacOS,Django,search box for entering product name to search,loggedIn,productSearchTerm
1582,ThankYouPage,Ecommerce,MacOS,Django,thank you page for the username,x,x
1583,TrainBookingConfirmed,Railway Booking,MacOS,Django,"Train booking confirmed page with details like passenger name , date of journey, train name,travel duration and fare",x,x
1584,TrainDisplayUI,Railway Booking,MacOS,Django,"display list of trains with details like train number, train name, duration and fare and select train ",x,x
1585,BusBookingConfirmed,Bus Booking,MacOS,Django,"Train booking confirmed page with details like passenger name , date of journey, train name,travel duration and fare",x,x
1586,BusDisplayUI,Bus Booking,MacOS,Django,"display list of trains with details like train number, train name, duration and fare and select train ",x,x
1587,VerificationEmailPage,Ecommerce,MacOS,Django,verification email sent page,x,x
1588,VideoList,Online Video,MacOS,Django,"youtube video display with video title, views and channel name with watch button",loggedIn,videoId
1589,YoutubeVideoPlay,Online Video,MacOS,Django,youtube video player with video id ,videoId,x
1590,AddBookUI,Library Management,Windows,Django,"add book ui using author name, book name and year",x,x
1591,AddBookUI,Supply Chain,Windows,Django,"add book ui using author name, book name and year",x,x
1592,AuthorAndGenre,Library Management,Windows,Django,author name dropdown and genre dropdown,x,x
1593,AuthorAndGenre,Supply Chain,Windows,Django,author name dropdown and genre dropdown,x,x
1594,BerthAvailabilty,Railway Booking,Windows,Django,"check for available berths using the values like train number ,DOJ, from and to city",x,x
1595,BookAddedSuccessfullyDialog,Library Management,Windows,Django,book added sucessfully dialog,bookAddedSuccessful,x
1596,BookAddedSuccessfullyDialog,Supply Chain,Windows,Django,book added sucessfully dialog,bookAddedSuccessful,x
1597,BookingConfirmation,Hotel Booking,Windows,Django,confirmation page display,x,x
1598,BookList,Library Management,Windows,Django,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
1599,BookList,Supply Chain,Windows,Django,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
1600,CalculateAgeScreen,Educational,Windows,Django,Calculate age using date picker and date of birth,loggedIn,age
1601,CityNameDropdown,Hotel Booking,Windows,Django,city name dropdown,isLoggedIn,cityName:String
1602,CityNameWithState,Hotel Booking,Windows,Django,city name dropdown with state,x,x
1603,ClassTypeAndQuota,Railway Booking,Windows,Django,class type dropdown and quota type dropdown,x,x
1604,ClassTypeAndQuota,Bus Booking,Windows,Django,class type dropdown and quota type dropdown,x,x
1605,DateOfJourney,Bus Booking,Windows,Django,date of journey input,x,x
1606,DateOfJourney,Railway Booking,Windows,Django,date of journey input,x,x
1607,DisplayAgeOutput,Educational,Windows,Django,Display the age ,age,x
1608,FlightBookingConfirmed,Flight Booking,Windows,Django,"Flight booking confirmed page with details like airline name , date of journey, from city , to city ",x,x
1609,FlightClassType,Flight Booking,Windows,Django,select flight class type from dropdown,x,x
1610,FlightDisplayUI,Flight Booking,Windows,Django,"display the searched list of flights and select a flight with details like airline code, airline name, departure, arrival , number of stops , duration and price",x,x
1611,FromCityToCity,Bus Booking,Windows,Django,From city dropdown and to city dropdown select,x,x
1612,FromCityToCity,Railway Booking,Windows,Django,From city dropdown and to city dropdown select,x,x
1613,FromCityToCityDOJ,Flight Booking,Windows,Django,From city dropdown and to city dropdown and date of journey select,x,x
1614,FromDateToDate,Hotel Booking,Windows,Django,from date and to date input,x,x
1615,GetFlights,Flight Booking,Windows,Django,"get flights button to search for flights using from city name , to city name and date of journey",x,x
1616,GetTrains,Railway Booking,Windows,Django,"get train button to search for trains using from city name , to city name ,date of journey and class type",x,x
